location,cardtype,frequency
Katerina's Caf,num_loyalty,195
Hippokampos,num_loyalty,155
Guy's Gyros,num_loyalty,146
Brew've Been Served,num_loyalty,140
Ouzeri Elian,num_loyalty,84
Hallowed Grounds,num_loyalty,80
Abila Zacharo,num_loyalty,71
Kalami Kafenion,num_loyalty,66
Gelatogalore,num_loyalty,60
Bean There Done That,num_loyalty,45
Frydos Autosupply n' More,num_loyalty,42
Coffee Cameleon,num_loyalty,37
Jack's Magical Beans,num_loyalty,35
Brewed Awakenings,num_loyalty,29
Abila Airport,num_loyalty,26
Albert's Fine Clothing,num_loyalty,25
Nationwide Refinery,num_loyalty,23
Carlyle Chemical Inc.,num_loyalty,19
Shoppers' Delight,num_loyalty,18
Stewart and Sons Fabrication,num_loyalty,17
General Grocer,num_loyalty,12
Coffee Shack,num_loyalty,9
Chostus Hotel,num_loyalty,8
Desafio Golf Course,num_loyalty,8
Kronos Mart,num_loyalty,8
Ahaggo Museum,num_loyalty,6
Kronos Pipe and Irrigation,num_loyalty,6
Maximum Iron and Steel,num_loyalty,6
Roberts and Sons,num_loyalty,6
Abila Scrapyard,num_loyalty,4
Octavio's Office Supplies,num_loyalty,3
Frank's Fuel,num_loyalty,2
U-Pump,num_loyalty,1
Daily Dealz,num_loyalty,0
Katerina's Caf,num_credit,212
Hippokampos,num_credit,171
Guy's Gyros,num_credit,158
Brew've Been Served,num_credit,156
Ouzeri Elian,num_credit,87
Hallowed Grounds,num_credit,92
Abila Zacharo,num_credit,72
Kalami Kafenion,num_credit,64
Gelatogalore,num_credit,64
Bean There Done That,num_credit,47
Frydos Autosupply n' More,num_credit,47
Coffee Cameleon,num_credit,38
Jack's Magical Beans,num_credit,37
Brewed Awakenings,num_credit,30
Abila Airport,num_credit,25
Albert's Fine Clothing,num_credit,25
Nationwide Refinery,num_credit,24
Carlyle Chemical Inc.,num_credit,19
Shoppers' Delight,num_credit,20
Stewart and Sons Fabrication,num_credit,18
General Grocer,num_credit,10
Coffee Shack,num_credit,8
Chostus Hotel,num_credit,9
Desafio Golf Course,num_credit,8
Kronos Mart,num_credit,10
Ahaggo Museum,num_credit,6
Kronos Pipe and Irrigation,num_credit,6
Maximum Iron and Steel,num_credit,6
Roberts and Sons,num_credit,8
Abila Scrapyard,num_credit,4
Octavio's Office Supplies,num_credit,4
Frank's Fuel,num_credit,2
U-Pump,num_credit,2
Daily Dealz,num_credit,1
